Дата/Время,ID Пользователя,Баллы,Макс. баллы,Процент,Детали ответов
2025-10-21 12:24:39,student_01,3,200,1.5,"[{""question_id"": 0, ""title"": ""Задача 1 (3 балла)"", ""user_answer"": ""8"", ""correct"": true, ""score"": 3}]"
2025-10-21 13:14:04,002,3,200,1.5,"[{""question_id"": 0, ""title"": ""Задача 1 (3 балла)"", ""user_answer"": ""8"", ""correct"": true, ""score"": 3}]"
2025-10-21 13:24:18,046,8,200,4.0,"[{""question_id"": 0, ""title"": ""Задача 1 (3 балла)"", ""user_answer"": ""8"", ""correct"": true, ""score"": 3}, {""question_id"": 1, ""title"": ""Задача 2 (6 баллов)"", ""user_answer"": ""1"", ""correct"": false, ""score"": 0}, {""question_id"": 2, ""title"": ""Задача 3 (10 баллов)"", ""user_answer"": ""2"", ""correct"": false, ""score"": 0}, {""question_id"": 3, ""title"": ""Задача 4 (5 баллов)"", ""user_answer"": ""4"", ""correct"": true, ""score"": 5}, {""question_id"": 4, ""title"": ""Задача 5 (15 баллов)"", ""user_answer"": ""6"", ""correct"": false, ""score"": 0}, {""question_id"": 5, ""title"": ""Задача 6 (5 баллов)"", ""user_answer"": ""7"", ""correct"": false, ""score"": 0}, {""question_id"": 6, ""title"": ""Задача 7 (10 баллов)"", ""user_answer"": ""54"", ""correct"": false, ""score"": 0}, {""question_id"": 7, ""title"": ""Задача 8 (3 балла) — Вероятность шаров"", ""user_answer"": ""345"", ""correct"": false, ""score"": 0}, {""question_id"": 8, ""title"": ""Задача 9 (10 баллов) — Парадокс Монти Холла"", ""user_answer"": ""76"", ""correct"": false, ""score"": 0}, {""question_id"": 9, ""title"": ""Задача 10 (5 баллов) — Кубики"", ""user_answer"": ""345"", ""correct"": false, ""score"": 0}, {""question_id"": 10, ""title"": ""Задача 11 (3 балла) — Арифметика в Python"", ""user_answer"": ""234"", ""correct"": false, ""score"": 0}, {""question_id"": 11, ""title"": ""Задача 12 (5 баллов) — Цикл for"", ""user_answer"": ""67"", ""correct"": false, ""score"": 0}, {""question_id"": 12, ""title"": ""Задача 13 (6 баллов) — Условный оператор"", ""user_answer"": ""345"", ""correct"": false, ""score"": 0}, {""question_id"": 13, ""title"": ""Задача 14 (7 баллов) — Функции"", ""user_answer"": ""7"", ""correct"": false, ""score"": 0}, {""question_id"": 14, ""title"": ""Задача 15 (8 баллов) — Строки"", ""user_answer"": ""87"", ""correct"": false, ""score"": 0}, {""question_id"": 15, ""title"": ""Задача 16 (10 баллов) — Рекурсия (числа Фибоначчи)"", ""user_answer"": ""234"", ""correct"": false, ""score"": 0}, {""question_id"": 16, ""title"": ""Задача 17 (3 балла) — Робот-друг"", ""user_answer"": ""456"", ""correct"": false, ""score"": 0}, {""question_id"": 17, ""title"": ""Задача 18 (3 балла) — Готовим бутерброд"", ""user_answer"": ""78"", ""correct"": false, ""score"": 0}, {""question_id"": 18, ""title"": ""Задача 19 (8 баллов) — Цикл «Повтори 3 раза»"", ""user_answer"": ""234"", ""correct"": false, ""score"": 0}, {""question_id"": 19, ""title"": ""Задача 20 (5 баллов) — Условие"", ""user_answer"": ""65"", ""correct"": false, ""score"": 0}, {""question_id"": 20, ""title"": ""Задача 21 (8 баллов) — Переменные"", ""user_answer"": ""2"", ""correct"": false, ""score"": 0}, {""question_id"": 21, ""title"": ""Задача 22 (7 баллов) — Списки"", ""user_answer"": ""5"", ""correct"": false, ""score"": 0}, {""question_id"": 22, ""title"": ""Задача 23 (8 баллов) — Цикл for"", ""user_answer"": ""5"", ""correct"": false, ""score"": 0}, {""question_id"": 23, ""title"": ""Задача 24 (4 балла) — Пароль от сундука"", ""user_answer"": ""345"", ""correct"": false, ""score"": 0}, {""question_id"": 24, ""title"": ""Задача 25 (6 баллов) — Ошибка в алгоритме"", ""user_answer"": ""3657"", ""correct"": false, ""score"": 0}, {""question_id"": 25, ""title"": ""Задача 26 (7 баллов)"", ""user_answer"": ""76"", ""correct"": false, ""score"": 0}, {""question_id"": 26, ""title"": ""Задача 27 (6 баллов)"", ""user_answer"": ""1235"", ""correct"": false, ""score"": 0}, {""question_id"": 27, ""title"": ""Задача 28 (9 баллов)"", ""user_answer"": ""547"", ""correct"": false, ""score"": 0}, {""question_id"": 28, ""title"": ""Задача 29 (8 баллов)"", ""user_answer"": ""1523"", ""correct"": false, ""score"": 0}]"
2025-10-21 14:15:37,1122,3,200,1.5,"[{""question_id"": 0, ""title"": ""Задача 1 (3 балла)"", ""user_answer"": ""8"", ""correct"": true, ""score"": 3}, {""question_id"": 1, ""title"": ""Задача 2 (6 баллов)"", ""user_answer"": ""4567"", ""correct"": false, ""score"": 0}, {""question_id"": 2, ""title"": ""Задача 3 (10 баллов)"", ""user_answer"": ""11"", ""correct"": false, ""score"": 0}, {""question_id"": 3, ""title"": ""Задача 4 (5 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 4, ""title"": ""Задача 5 (15 баллов)"", ""user_answer"": ""78"", ""correct"": false, ""score"": 0}, {""question_id"": 5, ""title"": ""Задача 6 (5 баллов)"", ""user_answer"": ""677"", ""correct"": false, ""score"": 0}]"
2025-11-05 11:43:50,2533,3,200,1.5,"[{""question_id"": 0, ""title"": ""Задача 1 (3 балла)"", ""user_answer"": ""8"", ""correct"": true, ""score"": 3}]"
2025-11-05 12:50:22,2533,3,200,1.5,"[{""question_id"": 0, ""title"": ""Задача 1 (3 балла)"", ""user_answer"": ""8"", ""correct"": true, ""score"": 3}, {""question_id"": 1, ""title"": ""Задача 2 (6 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 2, ""title"": ""Задача 3 (10 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 3, ""title"": ""Задача 4 (5 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 4, ""title"": ""Задача 5 (15 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 5, ""title"": ""Задача 6 (5 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 6, ""title"": ""Задача 7 (10 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 7, ""title"": ""Задача 8 (3 балла) — Вероятность шаров"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 8, ""title"": ""Задача 9 (10 баллов) — Парадокс Монти Холла"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 9, ""title"": ""Задача 10 (5 баллов) — Кубики"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 10, ""title"": ""Задача 11 (3 балла) — Арифметика в Python"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 11, ""title"": ""Задача 12 (5 баллов) — Цикл for"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 12, ""title"": ""Задача 13 (6 баллов) — Условный оператор"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 13, ""title"": ""Задача 14 (7 баллов) — Функции"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 14, ""title"": ""Задача 15 (8 баллов) — Строки"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 15, ""title"": ""Задача 16 (10 баллов) — Рекурсия (числа Фибоначчи)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 16, ""title"": ""Задача 17 (3 балла) — Робот-друг"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 17, ""title"": ""Задача 18 (3 балла) — Готовим бутерброд"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 18, ""title"": ""Задача 19 (8 баллов) — Цикл «Повтори 3 раза»"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 19, ""title"": ""Задача 20 (5 баллов) — Условие"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 20, ""title"": ""Задача 21 (8 баллов) — Переменные"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 21, ""title"": ""Задача 22 (7 баллов) — Списки"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 22, ""title"": ""Задача 23 (8 баллов) — Цикл for"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 23, ""title"": ""Задача 24 (4 балла) — Пароль от сундука"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 24, ""title"": ""Задача 25 (6 баллов) — Ошибка в алгоритме"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 25, ""title"": ""Задача 26 (7 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 26, ""title"": ""Задача 27 (6 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 27, ""title"": ""Задача 28 (9 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 28, ""title"": ""Задача 29 (8 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 29, ""title"": ""Задача 30 (9 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}]"
2025-11-06 10:58:11,6591,29,200,14.5,"[{""question_id"": 0, ""title"": ""Задача 1 (3 балла)"", ""user_answer"": ""2"", ""correct"": false, ""score"": 0}, {""question_id"": 1, ""title"": ""Задача 2 (6 баллов)"", ""user_answer"": ""А"", ""correct"": false, ""score"": 0}, {""question_id"": 2, ""title"": ""Задача 3 (10 баллов)"", ""user_answer"": ""2"", ""correct"": false, ""score"": 0}, {""question_id"": 3, ""title"": ""Задача 4 (5 баллов)"", ""user_answer"": ""5/6"", ""correct"": false, ""score"": 0}, {""question_id"": 4, ""title"": ""Задача 5 (15 баллов)"", ""user_answer"": ""54"", ""correct"": false, ""score"": 0}, {""question_id"": 5, ""title"": ""Задача 6 (5 баллов)"", ""user_answer"": ""2939"", ""correct"": false, ""score"": 0}, {""question_id"": 6, ""title"": ""Задача 7 (10 баллов)"", ""user_answer"": ""57"", ""correct"": false, ""score"": 0}, {""question_id"": 7, ""title"": ""Задача 8 (3 балла) — Вероятность шаров"", ""user_answer"": ""4/8"", ""correct"": false, ""score"": 0}, {""question_id"": 8, ""title"": ""Задача 9 (10 баллов) — Парадокс Монти Холла"", ""user_answer"": ""1/2"", ""correct"": false, ""score"": 0}, {""question_id"": 9, ""title"": ""Задача 10 (5 баллов) — Кубики"", ""user_answer"": ""3/4"", ""correct"": false, ""score"": 0}, {""question_id"": 10, ""title"": ""Задача 11 (3 балла) — Арифметика в Python"", ""user_answer"": ""90"", ""correct"": false, ""score"": 0}, {""question_id"": 11, ""title"": ""Задача 12 (5 баллов) — Цикл for"", ""user_answer"": ""16"", ""correct"": false, ""score"": 0}, {""question_id"": 12, ""title"": ""Задача 13 (6 баллов) — Условный оператор"", ""user_answer"": ""А"", ""correct"": false, ""score"": 0}, {""question_id"": 13, ""title"": ""Задача 14 (7 баллов) — Функции"", ""user_answer"": ""6"", ""correct"": false, ""score"": 0}, {""question_id"": 14, ""title"": ""Задача 15 (8 баллов) — Строки"", ""user_answer"": ""Help"", ""correct"": false, ""score"": 0}, {""question_id"": 15, ""title"": ""Задача 16 (10 баллов) — Рекурсия (числа Фибоначчи)"", ""user_answer"": ""7"", ""correct"": false, ""score"": 0}, {""question_id"": 16, ""title"": ""Задача 17 (3 балла) — Робот-друг"", ""user_answer"": ""Запад"", ""correct"": false, ""score"": 0}, {""question_id"": 17, ""title"": ""Задача 18 (3 балла) — Готовим бутерброд"", ""user_answer"": ""Возьми нож "", ""correct"": false, ""score"": 0}, {""question_id"": 18, ""title"": ""Задача 19 (8 баллов) — Цикл «Повтори 3 раза»"", ""user_answer"": ""2"", ""correct"": false, ""score"": 0}, {""question_id"": 19, ""title"": ""Задача 20 (5 баллов) — Условие"", ""user_answer"": ""2"", ""correct"": true, ""score"": 5}, {""question_id"": 20, ""title"": ""Задача 21 (8 баллов) — Переменные"", ""user_answer"": ""12"", ""correct"": false, ""score"": 0}, {""question_id"": 21, ""title"": ""Задача 22 (7 баллов) — Списки"", ""user_answer"": ""банан"", ""correct"": true, ""score"": 7}, {""question_id"": 22, ""title"": ""Задача 23 (8 баллов) — Цикл for"", ""user_answer"": ""231"", ""correct"": false, ""score"": 0}, {""question_id"": 23, ""title"": ""Задача 24 (4 балла) — Пароль от сундука"", ""user_answer"": ""12"", ""correct"": true, ""score"": 4}, {""question_id"": 24, ""title"": ""Задача 25 (6 баллов) — Ошибка в алгоритме"", ""user_answer"": ""Бегииии"", ""correct"": false, ""score"": 0}, {""question_id"": 25, ""title"": ""Задача 26 (7 баллов)"", ""user_answer"": ""50"", ""correct"": true, ""score"": 7}, {""question_id"": 26, ""title"": ""Задача 27 (6 баллов)"", ""user_answer"": ""50"", ""correct"": true, ""score"": 6}, {""question_id"": 27, ""title"": ""Задача 28 (9 баллов)"", ""user_answer"": ""dead"", ""correct"": false, ""score"": 0}, {""question_id"": 28, ""title"": ""Задача 29 (8 баллов)"", ""user_answer"": ""467447"", ""correct"": false, ""score"": 0}, {""question_id"": 29, ""title"": ""Задача 30 (9 баллов)"", ""user_answer"": ""60% "", ""correct"": false, ""score"": 0}]"
2025-11-06 11:03:42,3300,8,200,4.0,"[{""question_id"": 0, ""title"": ""Задача 1 (3 балла)"", ""user_answer"": ""5"", ""correct"": false, ""score"": 0}, {""question_id"": 1, ""title"": ""Задача 2 (6 баллов)"", ""user_answer"": ""6"", ""correct"": false, ""score"": 0}, {""question_id"": 2, ""title"": ""Задача 3 (10 баллов)"", ""user_answer"": ""7"", ""correct"": false, ""score"": 0}, {""question_id"": 3, ""title"": ""Задача 4 (5 баллов)"", ""user_answer"": ""7"", ""correct"": false, ""score"": 0}, {""question_id"": 4, ""title"": ""Задача 5 (15 баллов)"", ""user_answer"": ""9"", ""correct"": false, ""score"": 0}, {""question_id"": 5, ""title"": ""Задача 6 (5 баллов)"", ""user_answer"": ""9"", ""correct"": false, ""score"": 0}, {""question_id"": 6, ""title"": ""Задача 7 (10 баллов)"", ""user_answer"": ""90"", ""correct"": false, ""score"": 0}, {""question_id"": 7, ""title"": ""Задача 8 (3 балла) — Вероятность шаров"", ""user_answer"": ""23"", ""correct"": false, ""score"": 0}, {""question_id"": 8, ""title"": ""Задача 9 (10 баллов) — Парадокс Монти Холла"", ""user_answer"": ""34"", ""correct"": false, ""score"": 0}, {""question_id"": 9, ""title"": ""Задача 10 (5 баллов) — Кубики"", ""user_answer"": ""56"", ""correct"": false, ""score"": 0}, {""question_id"": 10, ""title"": ""Задача 11 (3 балла) — Арифметика в Python"", ""user_answer"": ""56"", ""correct"": false, ""score"": 0}, {""question_id"": 11, ""title"": ""Задача 12 (5 баллов) — Цикл for"", ""user_answer"": ""56"", ""correct"": false, ""score"": 0}, {""question_id"": 12, ""title"": ""Задача 13 (6 баллов) — Условный оператор"", ""user_answer"": ""67"", ""correct"": false, ""score"": 0}, {""question_id"": 13, ""title"": ""Задача 14 (7 баллов) — Функции"", ""user_answer"": ""67"", ""correct"": false, ""score"": 0}, {""question_id"": 14, ""title"": ""Задача 15 (8 баллов) — Строки"", ""user_answer"": ""78"", ""correct"": false, ""score"": 0}, {""question_id"": 15, ""title"": ""Задача 16 (10 баллов) — Рекурсия (числа Фибоначчи)"", ""user_answer"": ""78"", ""correct"": false, ""score"": 0}, {""question_id"": 16, ""title"": ""Задача 17 (3 балла) — Робот-друг"", ""user_answer"": ""89"", ""correct"": false, ""score"": 0}, {""question_id"": 17, ""title"": ""Задача 18 (3 балла) — Готовим бутерброд"", ""user_answer"": ""34"", ""correct"": false, ""score"": 0}, {""question_id"": 18, ""title"": ""Задача 19 (8 баллов) — Цикл «Повтори 3 раза»"", ""user_answer"": ""45"", ""correct"": false, ""score"": 0}, {""question_id"": 19, ""title"": ""Задача 20 (5 баллов) — Условие"", ""user_answer"": ""мкрии"", ""correct"": false, ""score"": 0}, {""question_id"": 20, ""title"": ""Задача 21 (8 баллов) — Переменные"", ""user_answer"": ""тно"", ""correct"": false, ""score"": 0}, {""question_id"": 21, ""title"": ""Задача 22 (7 баллов) — Списки"", ""user_answer"": ""аере"", ""correct"": false, ""score"": 0}, {""question_id"": 22, ""title"": ""Задача 23 (8 баллов) — Цикл for"", ""user_answer"": ""0 1 2 "", ""correct"": true, ""score"": 8}, {""question_id"": 23, ""title"": ""Задача 24 (4 балла) — Пароль от сундука"", ""user_answer"": ""16"", ""correct"": false, ""score"": 0}, {""question_id"": 24, ""title"": ""Задача 25 (6 баллов) — Ошибка в алгоритме"", ""user_answer"": ""оаркгаыфый"", ""correct"": false, ""score"": 0}, {""question_id"": 25, ""title"": ""Задача 26 (7 баллов)"", ""user_answer"": ""1000"", ""correct"": false, ""score"": 0}, {""question_id"": 26, ""title"": ""Задача 27 (6 баллов)"", ""user_answer"": ""1000"", ""correct"": false, ""score"": 0}, {""question_id"": 27, ""title"": ""Задача 28 (9 баллов)"", ""user_answer"": ""vvv"", ""correct"": false, ""score"": 0}, {""question_id"": 28, ""title"": ""Задача 29 (8 баллов)"", ""user_answer"": ""45"", ""correct"": false, ""score"": 0}, {""question_id"": 29, ""title"": ""Задача 30 (9 баллов)"", ""user_answer"": ""rybub"", ""correct"": false, ""score"": 0}]"
2025-11-06 11:05:28,2774,5,200,2.5,"[{""question_id"": 0, ""title"": ""Задача 1 (3 балла)"", ""user_answer"": ""4"", ""correct"": false, ""score"": 0}, {""question_id"": 1, ""title"": ""Задача 2 (6 баллов)"", ""user_answer"": ""А,Б,В,Г"", ""correct"": false, ""score"": 0}, {""question_id"": 2, ""title"": ""Задача 3 (10 баллов)"", ""user_answer"": ""4"", ""correct"": false, ""score"": 0}, {""question_id"": 3, ""title"": ""Задача 4 (5 баллов)"", ""user_answer"": ""2/3"", ""correct"": false, ""score"": 0}, {""question_id"": 4, ""title"": ""Задача 5 (15 баллов)"", ""user_answer"": ""5"", ""correct"": false, ""score"": 0}, {""question_id"": 5, ""title"": ""Задача 6 (5 баллов)"", ""user_answer"": ""75"", ""correct"": false, ""score"": 0}, {""question_id"": 6, ""title"": ""Задача 7 (10 баллов)"", ""user_answer"": ""5"", ""correct"": false, ""score"": 0}, {""question_id"": 7, ""title"": ""Задача 8 (3 балла) — Вероятность шаров"", ""user_answer"": ""3/4"", ""correct"": false, ""score"": 0}, {""question_id"": 8, ""title"": ""Задача 9 (10 баллов) — Парадокс Монти Холла"", ""user_answer"": ""нет, 1/3"", ""correct"": false, ""score"": 0}, {""question_id"": 9, ""title"": ""Задача 10 (5 баллов) — Кубики"", ""user_answer"": ""1/2"", ""correct"": false, ""score"": 0}, {""question_id"": 10, ""title"": ""Задача 11 (3 балла) — Арифметика в Python"", ""user_answer"": ""10"", ""correct"": false, ""score"": 0}, {""question_id"": 11, ""title"": ""Задача 12 (5 баллов) — Цикл for"", ""user_answer"": ""2"", ""correct"": false, ""score"": 0}, {""question_id"": 12, ""title"": ""Задача 13 (6 баллов) — Условный оператор"", ""user_answer"": ""А"", ""correct"": false, ""score"": 0}, {""question_id"": 13, ""title"": ""Задача 14 (7 баллов) — Функции"", ""user_answer"": ""8"", ""correct"": false, ""score"": 0}, {""question_id"": 14, ""title"": ""Задача 15 (8 баллов) — Строки"", ""user_answer"": ""hel"", ""correct"": false, ""score"": 0}, {""question_id"": 15, ""title"": ""Задача 16 (10 баллов) — Рекурсия (числа Фибоначчи)"", ""user_answer"": ""8"", ""correct"": false, ""score"": 0}, {""question_id"": 16, ""title"": ""Задача 17 (3 балла) — Робот-друг"", ""user_answer"": ""юг"", ""correct"": false, ""score"": 0}, {""question_id"": 17, ""title"": ""Задача 18 (3 балла) — Готовим бутерброд"", ""user_answer"": ""съешь"", ""correct"": false, ""score"": 0}, {""question_id"": 18, ""title"": ""Задача 19 (8 баллов) — Цикл «Повтори 3 раза»"", ""user_answer"": ""4"", ""correct"": false, ""score"": 0}, {""question_id"": 19, ""title"": ""Задача 20 (5 баллов) — Условие"", ""user_answer"": ""2"", ""correct"": true, ""score"": 5}, {""question_id"": 20, ""title"": ""Задача 21 (8 баллов) — Переменные"", ""user_answer"": ""10"", ""correct"": false, ""score"": 0}, {""question_id"": 21, ""title"": ""Задача 22 (7 баллов) — Списки"", ""user_answer"": ""яблоко"", ""correct"": false, ""score"": 0}, {""question_id"": 22, ""title"": ""Задача 23 (8 баллов) — Цикл for"", ""user_answer"": ""1 2 3"", ""correct"": false, ""score"": 0}, {""question_id"": 23, ""title"": ""Задача 24 (4 балла) — Пароль от сундука"", ""user_answer"": ""16"", ""correct"": false, ""score"": 0}, {""question_id"": 24, ""title"": ""Задача 25 (6 баллов) — Ошибка в алгоритме"", ""user_answer"": ""забыли взять кружку"", ""correct"": false, ""score"": 0}, {""question_id"": 25, ""title"": ""Задача 26 (7 баллов)"", ""user_answer"": ""10"", ""correct"": false, ""score"": 0}, {""question_id"": 26, ""title"": ""Задача 27 (6 баллов)"", ""user_answer"": ""10"", ""correct"": false, ""score"": 0}, {""question_id"": 27, ""title"": ""Задача 28 (9 баллов)"", ""user_answer"": ""abc"", ""correct"": false, ""score"": 0}, {""question_id"": 28, ""title"": ""Задача 29 (8 баллов)"", ""user_answer"": ""50"", ""correct"": false, ""score"": 0}, {""question_id"": 29, ""title"": ""Задача 30 (9 баллов)"", ""user_answer"": ""50"", ""correct"": false, ""score"": 0}]"
2025-11-06 11:30:03,2255,0,200,0.0,"[{""question_id"": 0, ""title"": ""Задача 1 (3 балла)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 1, ""title"": ""Задача 2 (6 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 2, ""title"": ""Задача 3 (10 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 3, ""title"": ""Задача 4 (5 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 4, ""title"": ""Задача 5 (15 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 5, ""title"": ""Задача 6 (5 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 6, ""title"": ""Задача 7 (10 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 7, ""title"": ""Задача 8 (3 балла) — Вероятность шаров"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 8, ""title"": ""Задача 9 (10 баллов) — Парадокс Монти Холла"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 9, ""title"": ""Задача 10 (5 баллов) — Кубики"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 10, ""title"": ""Задача 11 (3 балла) — Арифметика в Python"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 11, ""title"": ""Задача 12 (5 баллов) — Цикл for"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 12, ""title"": ""Задача 13 (6 баллов) — Условный оператор"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 13, ""title"": ""Задача 14 (7 баллов) — Функции"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 14, ""title"": ""Задача 15 (8 баллов) — Строки"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 15, ""title"": ""Задача 16 (10 баллов) — Рекурсия (числа Фибоначчи)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 16, ""title"": ""Задача 17 (3 балла) — Робот-друг"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 17, ""title"": ""Задача 18 (3 балла) — Готовим бутерброд"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 18, ""title"": ""Задача 19 (8 баллов) — Цикл «Повтори 3 раза»"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 19, ""title"": ""Задача 20 (5 баллов) — Условие"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 20, ""title"": ""Задача 21 (8 баллов) — Переменные"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 21, ""title"": ""Задача 22 (7 баллов) — Списки"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 22, ""title"": ""Задача 23 (8 баллов) — Цикл for"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 23, ""title"": ""Задача 24 (4 балла) — Пароль от сундука"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 24, ""title"": ""Задача 25 (6 баллов) — Ошибка в алгоритме"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 25, ""title"": ""Задача 26 (7 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 26, ""title"": ""Задача 27 (6 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 27, ""title"": ""Задача 28 (9 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 28, ""title"": ""Задача 29 (8 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}, {""question_id"": 29, ""title"": ""Задача 30 (9 баллов)"", ""user_answer"": """", ""correct"": false, ""score"": 0}]"
